escola,q_azul,habilidade,erro_pct,n,erro_nacional
Marista Natal,Q06,H4,11.7,171,49.4
Marista Natal,Q07,H1,19.9,171,53.5
Marista Natal,Q08,H29,53.8,171,68.3
Marista Natal,Q09,H30,42.1,171,68.5
Marista Natal,Q10,H22,49.1,171,65.9
