area,co_item,A,B,C,baker
CN,96328,3.42124,1.93027,0.06916,muito alta
CN,117734,1.97245,1.25206,0.09695,muito alta
CN,141671,3.50039,1.25217,0.25537,muito alta
CN,76686,2.02857,1.75727,0.19989,muito alta
CN,97091,1.71937,2.18313,0.18212,muito alta
CN,141522,1.31784,2.88051,0.29392,moderada
CN,141601,2.30161,1.64956,0.31542,muito alta
CN,61018,2.29917,1.62756,0.1603,muito alta
CN,95445,4.85792,1.12172,0.19432,muito alta
CN,97616,2.30747,0.51744,0.18422,muito alta
CN,98246,1.19807,0.63661,0.13434,moderada
CN,86958,1.55647,2.09416,0.14181,alta
CN,141529,3.09565,1.79848,0.26323,muito alta
MT,86942,1.01265,2.90829,0.31125,moderada
MT,88952,2.27648,2.43408,0.15585,muito alta
MT,31953,2.05503,1.52998,0.26701,muito alta
MT,83162,1.55368,1.18413,0.18289,alta
MT,125926,1.87604,1.07428,0.14024,muito alta
MT,141568,3.46557,2.92476,0.07945,muito alta
MT,16540,2.35807,2.35402,0.24099,muito alta
MT,50210,2.4952,0.97163,0.106,muito alta
MT,63293,1.7134,1.91607,0.24889,muito alta
MT,96979,1.5765,0.09067,0.17135,alta
MT,16995,2.02208,2.22726,0.16081,muito alta
MT,38222,1.5176,0.98928,0.20278,alta
MT,60344,1.84431,0.87782,0.13438,muito alta
MT,95625,1.20166,0.77428,0.16195,moderada
MT,96778,3.12993,1.8995,0.08299,muito alta
MT,125905,2.19978,1.77865,0.17051,muito alta
MT,49136,1.41236,2.97953,0.14906,alta
MT,117764,1.4441,-0.18872,0.19786,alta
MT,84096,0.94228,2.28567,0.11961,moderada
MT,95816,0.9255,4.23744,0.12086,moderada
MT,117856,2.16927,1.82953,0.22624,muito alta
MT,141518,2.02129,1.26856,0.1775,muito alta
MT,15396,2.36212,1.38945,0.08082,muito alta
MT,41895,1.45957,1.3946,0.2655,alta
MT,83575,2.38253,2.46253,0.18571,muito alta
MT,96852,1.55357,0.3164,0.23751,alta
MT,117625,2.7122,1.24373,0.27269,muito alta
MT,28216,1.10653,1.83497,0.18515,moderada
MT,153134,1.25353,0.84993,0.21314,moderada
MT,49227,1.25608,1.96379,0.24858,moderada
MT,63713,2.59281,1.73411,0.09568,muito alta
MT,111673,2.2167,2.02265,0.27721,muito alta
MT,27847,1.7861,3.4637,0.09228,muito alta
MT,44306,3.86308,1.72136,0.21606,muito alta
MT,44510,3.04149,2.37391,0.30057,muito alta
MT,141562,2.33222,2.57378,0.10579,muito alta
MT,8460,1.92684,2.8078,0.08127,muito alta
MT,28587,1.69872,1.05549,0.16885,alta
MT,63313,1.42101,0.31713,0.01503,alta
MT,111422,1.88957,2.16503,0.17038,muito alta
MT,126023,1.6235,0.45598,0.1784,alta
MT,84405,2.5667,2.27494,0.13245,muito alta
MT,111771,2.15434,2.18988,0.10351,muito alta
