rank,CO_ITEM,area,hab,pos_azul,gab,a,b,c,p_obs,P_pred,misfit,pctA(disc),pctC(chute),pctMisfit,IPT
66,150612,LC,20,20,B,2.217,0.622,0.197,0.478,0.448,0.031,51,65,49,55.3
67,141009,CH,23,65,C,0.966,0.174,0.027,0.522,0.479,0.042,96,5,64,54.9
68,141710,CN,4,104,A,2.406,0.335,0.354,0.626,0.608,0.018,36,99,29,54.7
69,141671,CN,12,134,B,3.500,1.252,0.255,0.309,0.354,0.045,7,87,69,54.6
70,87450,CN,13,107,E,1.675,0.628,0.188,0.438,0.456,0.018,72,61,28,54.0
71,55581,CH,23,82,E,1.270,0.461,0.013,0.445,0.398,0.047,87,3,72,54.0
72,16540,MT,8,149,B,2.358,2.354,0.241,0.290,0.265,0.025,40,84,39,54.0
73,141135,CH,22,62,B,0.880,0.510,0.008,0.449,0.410,0.039,98,2,61,53.8
74,76686,CN,18,118,C,2.029,1.757,0.200,0.251,0.274,0.023,59,68,34,53.6
75,97091,CN,24,124,B,1.719,2.183,0.182,0.212,0.235,0.023,70,54,36,53.4
76,44307,CN,28,99,C,1.283,-0.024,0.089,0.588,0.550,0.038,87,13,60,53.3
77,153833,LC,5,5,C,2.329,0.443,0.201,0.520,0.489,0.031,41,70,49,53.3
78,98246,CN,15,129,A,1.198,0.637,0.134,0.466,0.442,0.024,91,31,38,53.1
79,96978,CH,15,73,A,3.380,0.391,0.295,0.584,0.552,0.032,11,96,52,53.1
80,88181,CN,30,102,E,0.668,-0.137,0.011,0.561,0.526,0.035,100,3,56,52.9
81,16995,MT,28,152,D,2.022,2.227,0.161,0.235,0.201,0.034,60,44,55,52.9
82,140709,LC,7,3,D,2.772,0.942,0.201,0.329,0.371,0.042,25,69,64,52.7
83,140518,CH,28,84,D,2.310,0.418,0.159,0.518,0.469,0.049,42,42,72,52.3
84,27847,MT,3,175,C,1.786,3.464,0.092,0.150,0.100,0.049,68,14,73,51.6
85,84096,MT,2,155,B,0.942,2.286,0.120,0.260,0.238,0.021,96,25,33,51.2
86,153875,LC,7,1,D,3.728,0.372,0.171,0.618,0.476,0.142,5,50,97,50.5
87,117764,MT,20,145,D,1.444,-0.189,0.198,0.636,0.638,0.002,83,66,2,50.5
88,141078,CH,17,86,C,2.575,0.869,0.174,0.413,0.369,0.045,32,51,67,50.1
89,158757,LC,12,22,B,2.965,0.284,0.143,0.628,0.489,0.139,19,35,96,50.1
90,49136,MT,7,144,D,1.412,2.980,0.149,0.194,0.178,0.016,84,38,27,49.5
91,125926,MT,11,148,C,1.876,1.074,0.140,0.357,0.325,0.032,64,34,51,49.5
92,83614,CN,24,115,C,0.914,1.144,0.077,0.320,0.345,0.025,98,10,40,49.3
93,112036,LC,5,4,E,4.902,0.712,0.175,0.516,0.383,0.133,1,52,96,49.3
94,140432,CH,7,90,A,3.024,2.652,0.311,0.298,0.319,0.021,17,97,32,49.0
95,118196,LC,9,27,A,2.404,-0.041,0.084,0.705,0.554,0.151,37,13,97,49.0
96,66526,LC,25,42,A,2.684,0.730,0.151,0.441,0.381,0.060,28,39,79,48.6
97,83162,MT,26,154,C,1.554,1.184,0.183,0.349,0.357,0.008,77,55,13,48.4
98,140201,CH,23,60,D,2.244,1.519,0.220,0.320,0.310,0.009,49,79,16,48.2
99,50210,MT,24,147,E,2.495,0.972,0.106,0.391,0.297,0.095,34,21,90,48.2
100,85481,CN,19,112,D,3.219,1.270,0.163,0.199,0.274,0.075,12,46,86,48.0
101,120341,LC,19,34,C,1.577,0.963,0.096,0.361,0.328,0.033,74,16,54,47.9
102,157779,LC,29,8,D,1.741,1.239,0.119,0.317,0.286,0.031,69,24,50,47.7
103,56054,CH,11,78,B,2.427,0.897,0.187,0.349,0.377,0.027,36,60,45,46.9
104,140451,CH,14,85,B,1.482,0.407,0.057,0.461,0.429,0.032,81,8,51,46.7
105,87716,CN,22,110,E,3.121,1.043,0.170,0.268,0.321,0.052,15,49,77,46.6
106,141609,CN,5,94,D,1.940,1.474,0.116,0.205,0.237,0.033,62,23,53,46.2
107,111422,MT,13,173,A,1.890,2.165,0.170,0.232,0.218,0.014,64,49,26,46.2
