escola,q_azul,habilidade,erro_pct,n,erro_nacional
Dom Bosco,Q06,H4,21.6,51,49.4
Dom Bosco,Q07,H1,35.3,51,53.5
Dom Bosco,Q08,H29,56.9,51,68.3
Dom Bosco,Q09,H30,43.1,51,68.5
Dom Bosco,Q10,H22,49.0,51,65.9
