POSICAO,NO_ENTIDADE,NO_MUNICIPIO,SG_UF,N_ALUNOS,MEDIA_5,CN,CH,LC,MT,REDACAO,CO_ESCOLA
48,COLEGIO MARISTA NOSSA SENHORA DA CONCEICAO,Passo Fundo,RS,37,621.2,536.1,568.2,591.7,658.1,751.9,43097774
49,COLEGIO MARISTA SANT ANA,Uruguaiana,RS,56,619.9,529.6,570.7,583.6,632.1,783.6,43162290
50,COLEGIO MARISTA NOSSA SENHORA DAS GRACAS,Viamão,RS,54,618.0,541.6,570.4,585.0,635.7,757.0,43167772
51,COLEGIO MARISTA SAO PEDRO,Porto Alegre,RS,46,613.2,547.3,584.3,590.4,621.9,722.2,43105130
52,COLEGIO MARISTA NOSSA SENHORA APARECIDA,Bento Gonçalves,RS,15,612.5,533.6,556.9,597.0,636.2,738.7,43022316
53,COLEGIO MARISTA PIO XII,Surubim,PE,72,611.5,513.7,552.0,558.9,590.6,842.5,26064596
54,COLEGIO MARISTA DE MARINGA EI EF EM,Maringá,PR,32,611.1,539.7,574.4,581.9,646.2,713.1,41024303
55,ESCOLA MARISTA CHAMPAGNAT TERRA VERMELHA,Vila Velha,ES,49,609.3,528.6,572.1,567.5,575.3,802.9,32079931
56,COLEGIO MARISTA DE MACEIO,Maceió,AL,57,607.7,538.8,559.9,558.3,610.7,770.9,27034895
57,COLEGIO MARISTA PIO XII,Novo Hamburgo,RS,40,602.7,518.7,559.7,586.8,622.3,726.0,43092454
58,COLEGIO MARISTA ROQUE GONCALVES,Cachoeira do Sul,RS,54,602.4,523.2,553.3,575.5,618.0,741.9,43029485
59,ESCOLA MARISTA CHAMPAGNAT TERESINA,Teresina,PI,141,600.4,523.5,563.2,552.9,587.1,775.0,22130756
60,COLEGIO MARISTA NOSSA SENHORA MEDIANEIRA,Erechim,RS,20,590.3,512.9,566.9,560.5,602.1,709.0,43056180
61,COLEGIO MARISTA ASSUNCAO,Porto Alegre,RS,46,578.6,506.9,556.0,582.4,592.5,655.2,43107362
62,MARISTA M CHAMPAGNAT C CTO SOC EI EF EM PROF,Cascavel,PR,10,547.5,529.9,520.2,569.1,514.2,604.0,41361849
63,CENTRO EDUCACIONAL MARISTA IRMAO LOURENCO,São Paulo,SP,33,535.0,492.4,503.0,534.2,487.6,657.6,35007041
64,CENTRO EDUCACIONAL MARISTA IR WALMIR,Criciúma,SC,15,528.8,474.3,516.8,520.7,504.1,628.0,42106915
65,MARISTA IR RUI LEOPOLDO DEPINE CENTRO EDUCACIONAL,Ribeirão Preto,SP,42,527.5,487.7,509.5,533.3,496.6,610.5,35567656
66,COLEGIO MARISTA IRMAO ACACIO ENSINO FUNDAMENTAL MEDIO E PROFISSIONAL,Londrina,PR,38,524.1,477.1,507.4,536.1,508.4,591.6,41150856
67,COLEGIO MARISTA SANTA MONICA ENSINO FUNDAMENTAL E MEDIO,Ponta Grossa,PR,29,522.3,514.4,515.5,547.4,515.1,519.3,41361890
68,COLEGIO MARISTA IRMAO JAIME BIAZUS,Porto Alegre,RS,40,519.8,465.7,512.0,532.1,469.8,619.5,43002803
69,CENTRO EDUCACIONAL MARISTA LUCIA MAYVORNE,Florianópolis,SC,17,516.4,479.6,515.9,526.0,479.4,581.2,42103215
70,COLEGIO MARISTA E MUNICIPAL SAO JOSE,São José,SC,28,499.5,466.2,493.9,527.2,498.7,511.4,42162076
