area,area_label,area_full,co_prova,cor,pos_area,co_posicao,co_item,habilidade,tp_lingua,lingua_label,anulado,motivo_anulacao,gab,pct_acerto,A,B,C,p_modelo_theta0,dif_xtri,total,categoria,categoria_ordem,discriminacao
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1459,AZUL,24,24,150674,H2,,,False,,B,56.81,2.05176,0.63313,0.21138,0.2894557036737377,61.30187926120705,3368961.0,Médio,1,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1459,AZUL,25,25,150643,H24,,,False,,E,40.63,2.25962,0.86097,0.1859,0.21465557956736847,71.82688732812105,3368961.0,Difícil,2,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1459,AZUL,26,26,44047,H26,,,False,,B,86.96,2.89699,-0.59642,0.02425,0.950880496968705,7.756767697034175,3368961.0,Fácil,0,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1459,AZUL,27,27,118196,H9,,,False,,A,70.49,2.40377,-0.0414,0.08365,0.5804892388067262,37.5966994775628,3368961.0,Fácil,0,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1459,AZUL,28,28,150505,H16,,,False,,B,49.94,1.2319,0.54082,0.1049,0.3230191572983402,61.524754775607896,3368961.0,Médio,1,A-
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1459,AZUL,29,29,150761,H17,,,False,,A,33.09,2.23464,1.07057,0.13133,0.14595896858616492,78.93116704189929,3368961.0,Muito difícil,3,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1459,AZUL,30,30,153420,H20,,,False,,B,20.48,2.37816,1.72434,0.14733,0.14812943399574996,83.20358679027625,3368961.0,Muito difícil,3,A
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1459,AZUL,31,31,153419,H28,,,False,,D,55.05,0.67096,0.11449,0.00825,0.47179254118299724,50.06598482310518,3368961.0,Fácil,0,A-
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1459,AZUL,32,32,140908,H29,,,False,,E,11.76,4.01735,1.50486,0.06311,0.06314222855666836,91.77975514381656,3368961.0,Muito difícil,3,A+
LC,Linguagens,"Linguagens, Códigos e suas Tecnologias",1459,AZUL,33,33,140845,H2,,,False,,B,61.97,2.09447,0.20656,0.13133,0.4127737966715697,51.48020321634797,3368961.0,Fácil,0,A
