area,habilidade,co_item,pct_acerto,A,B,C,acertos,total
LC,H20,153420,20.48,2.37816,1.72434,0.14733,689908,3368961
LC,H8,153945,24.86,1.8208,1.32304,0.19745,336255,1352767
LC,H18,157598,29.75,1.56827,1.94895,0.23722,1002427,3368961
LC,H30,157781,31.48,3.44333,1.03742,0.13709,1060674,3368961
LC,H14,158716,31.62,2.29277,1.01273,0.0931,1065425,3368961
LC,H29,157779,31.66,1.74082,1.23944,0.11882,1066458,3368961
LC,H7,140709,32.85,2.7718,0.94236,0.20053,444427,1352767
LC,H17,150761,33.09,2.23464,1.07057,0.13133,1114807,3368961
LC,H27,153400,33.4,4.6087,0.80546,0.10579,1125379,3368961
LC,H22,157775,34.11,3.6719,1.0849,0.13842,1149263,3368961
LC,H16,150607,34.25,1.60463,1.535,0.21298,1153727,3368961
LC,H18,43532,34.34,4.75417,0.97598,0.1838,1156789,3368961
LC,H19,120341,36.08,1.57743,0.96321,0.09612,1215583,3368961
LC,H26,153681,36.47,3.6449,1.00902,0.2065,1228727,3368961
LC,H15,150940,38.47,1.17106,0.92453,0.04846,1295916,3368961
LC,H12,153550,40.17,1.56252,0.97856,0.22899,1353331,3368961
LC,H24,150643,40.63,2.25962,0.86097,0.1859,1368702,3368961
LC,H3,157593,43.86,1.17057,0.6619,0.00779,1477737,3368961
LC,H17,153392,43.88,2.2343,0.80331,0.16272,1478288,3368961
LC,H25,66526,44.09,2.68424,0.7301,0.15132,1485249,3368961
LC,H22,97881,44.54,3.43242,0.90425,0.28122,1500594,3368961
LC,H15,157615,46.45,1.64072,0.95986,0.19106,1565022,3368961
LC,H1,157750,46.48,2.05162,0.89837,0.20823,1565877,3368961
LC,H23,150642,47.23,1.26109,1.31039,0.27904,1591204,3368961
LC,H20,150612,47.82,2.21653,0.6224,0.19711,1611180,3368961
LC,H13,153556,48.21,2.03689,0.74331,0.21068,1624294,3368961
LC,H16,150505,49.94,1.2319,0.54082,0.1049,1682521,3368961
LC,H4,157751,50.65,2.91253,0.48859,0.10089,1706516,3368961
LC,H5,112036,51.62,4.90205,0.71195,0.17497,1040723,2016194
LC,H5,153833,52.0,2.32932,0.44342,0.201,703483,1352767
LC,H24,17166,52.37,3.22461,0.66444,0.25447,1764280,3368961
LC,H21,157665,54.3,1.03891,0.31916,0.00705,1829431,3368961
LC,H6,152688,54.43,1.12528,0.36546,0.2073,736320,1352767
LC,H4,120714,55.02,2.622,0.59532,0.25859,1853514,3368961
LC,H28,153419,55.05,0.67096,0.11449,0.00825,1854535,3368961
LC,H2,150674,56.81,2.05176,0.63313,0.21138,1913758,3368961
LC,H6,153836,58.62,2.38626,0.67668,0.18733,1181993,2016194
LC,H30,152784,61.17,2.93851,0.36901,0.18829,2060958,3368961
LC,H7,153875,61.79,3.7284,0.3723,0.1705,1245780,2016194
LC,H2,140845,61.97,2.09447,0.20656,0.13133,2087726,3368961
LC,H12,158757,62.76,2.96488,0.28395,0.14322,2114426,3368961
LC,H11,157571,64.4,2.29926,0.1859,0.18515,2169550,3368961
LC,H7,118169,64.47,2.94472,0.59928,0.24615,1299907,2016194
LC,H9,118196,70.49,2.40377,-0.0414,0.08365,2374828,3368961
LC,H6,153930,71.8,2.28024,0.18554,0.19951,1447598,2016194
LC,H9,154020,76.45,2.44218,-0.02849,0.19639,2575647,3368961
LC,H10,157619,78.14,1.82096,-0.29844,0.19586,2632379,3368961
LC,H26,44047,86.96,2.89699,-0.59642,0.02425,2929585,3368961
MT,H18,141568,9.12,3.46557,2.92476,0.07945,289859,3176917
MT,H9,141562,13.25,2.33222,2.57378,0.10579,420834,3176917
MT,H29,8460,13.95,1.92684,2.8078,0.08127,443078,3176917
MT,H3,27847,14.98,1.7861,3.4637,0.09228,475901,3176917
MT,H19,95816,15.01,0.9255,4.23744,0.12086,476939,3176917
MT,H28,96778,16.62,3.12993,1.8995,0.08299,528039,3176917
MT,H15,111771,17.94,2.15434,2.18988,0.10351,569950,3176917
MT,H2,84405,17.94,2.5667,2.27494,0.13245,570039,3176917
MT,H7,49136,19.35,1.41236,2.97953,0.14906,614789,3176917
MT,H22,88952,19.38,2.27648,2.43408,0.15585,615578,3176917
MT,H13,111422,23.24,1.88957,2.16503,0.17038,738308,3176917
MT,H28,16995,23.54,2.02208,2.22726,0.16081,748003,3176917
MT,H23,83575,25.18,2.38253,2.46253,0.18571,799845,3176917
MT,H30,63713,25.28,2.59281,1.73411,0.09568,802999,3176917
MT,H2,84096,25.96,0.94228,2.28567,0.11961,824569,3176917
MT,H11,15396,26.8,2.36212,1.38945,0.08082,851426,3176917
MT,H25,44306,28.46,3.86308,1.72136,0.21606,904291,3176917
MT,H8,16540,28.95,2.35807,2.35402,0.24099,919757,3176917
