codigo_inep,escola,criterio_amostra,n_pool_5_notas,n_amostra,media_5,mediana_5,dp_5,p25_5,p75_5,min_5,max_5,media_4_tri,media_cn,media_ch,media_lc,media_mt,media_redacao,delta_media_5_vs_cca
24069191,CEI S/A Romualdo,top_54_media_5,139,54,757.9855555555555,756.1399999999999,23.242723321964313,737.875,772.2750000000001,722.4200000000001,809.94,715.6300925925926,700.011111111111,676.1685185185187,663.0907407407407,823.2500000000002,927.4074074074074,31.592222222222063
24057134,Marista de Natal,top_54_media_5,171,54,748.4859259259259,744.54,24.39802764364509,729.235,762.585,716.0200000000001,813.6400000000001,708.0148148148147,674.0666666666667,676.6537037037037,661.3666666666667,819.9722222222221,910.3703703703703,22.092592592592496
24088846,Colégio Porto,top_54_media_5,96,54,743.8766666666666,730.9100000000001,35.553778718050125,716.755,765.92,700.3,839.18,706.9754629629628,682.3351851851853,677.1148148148148,660.8296296296297,807.6222222222221,891.4814814814815,17.48333333333312
24097004,Ciências Aplicadas,todos_5_notas,54,54,726.3933333333334,727.76,44.63330544242697,705.44,750.7950000000001,613.5,843.46,686.9731481481482,674.3851851851853,651.9999999999999,649.4537037037038,772.0537037037037,884.074074074074,0.0
