escola,area,habilidade,erro_pct,n_resp,erro_nacional
CEI Romualdo,MT,H3,46.4,278,66.2
CEI Romualdo,MT,H30,29.5,139,74.7
CEI Romualdo,MT,H4,13.7,278,52.6
CEI Romualdo,MT,H5,41.0,139,65.6
CEI Romualdo,MT,H6,33.9,277,69.2
CEI Romualdo,MT,H7,74.8,139,80.7
CEI Romualdo,MT,H8,46.6,277,68.8
CEI Romualdo,MT,H9,55.4,278,75.0
CEI Roberto Freire,CH,H1,52.9,140,69.8
CEI Roberto Freire,CH,H10,75.7,70,73.1
CEI Roberto Freire,CH,H11,40.0,140,73.0
CEI Roberto Freire,CH,H12,78.6,140,77.3
CEI Roberto Freire,CH,H13,80.0,70,80.6
CEI Roberto Freire,CH,H14,38.6,70,53.9
CEI Roberto Freire,CH,H15,10.0,70,41.6
CEI Roberto Freire,CH,H16,27.1,70,67.5
CEI Roberto Freire,CH,H17,31.4,70,58.6
CEI Roberto Freire,CH,H18,47.1,70,56.7
CEI Roberto Freire,CH,H19,29.3,140,56.4
CEI Roberto Freire,CH,H2,51.4,70,75.3
CEI Roberto Freire,CH,H20,15.7,70,51.0
CEI Roberto Freire,CH,H21,55.7,140,73.5
CEI Roberto Freire,CH,H22,52.9,140,66.3
CEI Roberto Freire,CH,H23,46.2,210,57.1
CEI Roberto Freire,CH,H24,53.6,140,63.7
CEI Roberto Freire,CH,H25,49.3,140,68.3
CEI Roberto Freire,CH,H26,40.0,140,60.5
CEI Roberto Freire,CH,H27,27.1,140,60.4
CEI Roberto Freire,CH,H28,23.6,140,45.2
CEI Roberto Freire,CH,H29,27.1,70,64.3
CEI Roberto Freire,CH,H3,25.7,70,51.4
CEI Roberto Freire,CH,H30,34.3,70,64.9
CEI Roberto Freire,CH,H4,50.0,140,65.1
CEI Roberto Freire,CH,H5,11.4,70,42.5
CEI Roberto Freire,CH,H6,18.6,70,56.5
CEI Roberto Freire,CH,H7,51.4,140,67.6
CEI Roberto Freire,CH,H8,17.1,70,49.6
CEI Roberto Freire,CH,H9,21.4,70,60.7
CEI Roberto Freire,CN,H1,35.7,140,70.4
CEI Roberto Freire,CN,H10,2.9,70,28.6
CEI Roberto Freire,CN,H11,15.7,70,61.2
CEI Roberto Freire,CN,H12,28.2,71,69.1
CEI Roberto Freire,CN,H13,24.3,70,56.2
CEI Roberto Freire,CN,H14,54.3,70,69.8
CEI Roberto Freire,CN,H15,28.6,70,53.4
CEI Roberto Freire,CN,H16,22.9,70,32.9
CEI Roberto Freire,CN,H17,48.6,140,67.5
CEI Roberto Freire,CN,H18,51.4,70,74.9
CEI Roberto Freire,CN,H19,15.7,70,80.0
CEI Roberto Freire,CN,H2,65.7,70,68.3
CEI Roberto Freire,CN,H20,50.7,140,82.9
CEI Roberto Freire,CN,H21,45.0,140,60.6
CEI Roberto Freire,CN,H22,22.9,140,59.9
CEI Roberto Freire,CN,H23,35.7,140,71.8
CEI Roberto Freire,CN,H24,59.7,139,73.4
CEI Roberto Freire,CN,H25,22.9,70,40.1
CEI Roberto Freire,CN,H26,71.4,70,88.2
CEI Roberto Freire,CN,H27,27.1,70,65.2
CEI Roberto Freire,CN,H28,30.5,210,63.6
CEI Roberto Freire,CN,H29,11.4,70,52.7
CEI Roberto Freire,CN,H3,56.4,140,75.8
CEI Roberto Freire,CN,H30,44.3,70,43.9
CEI Roberto Freire,CN,H4,17.1,70,37.4
CEI Roberto Freire,CN,H5,62.9,140,79.5
CEI Roberto Freire,CN,H6,77.1,70,71.1
CEI Roberto Freire,CN,H7,58.6,140,77.3
CEI Roberto Freire,CN,H8,17.1,70,73.4
CEI Roberto Freire,CN,H9,65.7,70,83.4
CEI Roberto Freire,LC,H1,38.6,70,53.5
CEI Roberto Freire,LC,H10,5.7,70,21.9
CEI Roberto Freire,LC,H11,11.4,70,35.6
CEI Roberto Freire,LC,H12,25.7,140,48.5
CEI Roberto Freire,LC,H13,17.1,70,51.8
CEI Roberto Freire,LC,H14,22.9,70,68.4
