POSICAO,NO_ENTIDADE,NO_MUNICIPIO,DEP,N_ALUNOS,MEDIA_5,CN,CH,LC,MT,REDACAO,CO_ESCOLA
52,UNIAO AMAZONIDA DE EDUCACAO E ASSISTENCIA - UNAMEA,Belém,4.0,12,556.1,493.2,537.8,532.1,505.6,711.7,15038432
53,ESCOLA DE APLICACAO DA UFPA,Belém,1.0,105,554.3,521.4,517.3,514.6,543.8,674.3,15038688
54,CENTRO EDUCACIONAL INTERATIVO LTDA,Belém,4.0,52,553.9,506.8,525.4,510.5,507.3,719.6,15563715
55,IFPA - CAMPUS BELEM,Belém,1.0,340,552.6,517.6,532.8,529.2,527.9,655.4,15588947
56,CENTRO DE ESTUDOS DA AMAZONIA,Belém,4.0,10,552.2,535.4,538.5,527.2,521.8,638.0,15185001
57,CENTRO EDUCACIONAL O MUNDO DA CRIANCA,Belém,4.0,34,550.0,512.0,522.3,523.8,532.4,659.4,15175014
58,CENTRO EDUCACIONAL DE E F M MUNDO INTELECTO,Belém,4.0,31,547.3,515.8,508.9,498.4,517.8,695.5,15159329
59,ESCOLA ESTADUAL BENJAMIN CONSTANT,Belém,2.0,35,536.2,503.0,510.5,509.5,494.2,664.0,15039609
60,COLEGIO IMPACTO SENADOR LEMOS,Belém,4.0,41,534.9,513.4,504.7,509.5,498.1,648.8,15181197
61,ESCOLA ESTADUAL PROFA ALBANIZIA DE OLIVEIRA LIMA,Belém,2.0,295,533.6,498.3,508.2,511.4,502.4,647.9,15562220
62,CENTRO DE ESTUDOS NOVO HORIZONTE,Belém,4.0,22,533.4,464.1,467.5,495.6,506.9,732.7,15516423
63,ELITE EDUCAR,Belém,4.0,10,533.2,510.1,506.1,524.5,501.2,624.0,15173402
64,ESCOLA ESTADUAL VISCONDE DE SOUZA FRANCO,Belém,2.0,83,529.9,483.2,507.7,503.8,485.7,669.4,15038700
65,COLEGIO IMPACTO,Belém,4.0,26,529.3,499.7,514.6,528.2,464.6,639.2,15586715
66,CENTRO DE ESTUDOS IMPACTO,Belém,4.0,36,528.9,509.4,524.0,515.5,495.0,600.6,15531350
67,ESCOLA SESI BELEM,Belém,4.0,62,528.1,509.4,504.1,514.2,516.9,595.8,15108023
68,COLEGIO IMPACTO- MANGUEIRAO,Belém,4.0,79,521.8,496.6,489.5,513.6,484.1,625.3,15225020
